// Map_ID,Area_ID,Map_Name,Map.gat,x,y

500,1,"アモンラー","moc_pryd06.gat",184,12
501,1,"オシリス","moc_pryd04.gat",22,187
502,1,"バフォメット","prt_maze03.gat",23,11
503,1,"ドッペルゲンガー","gef_dun02.gat",106,129
504,1,"ミストレス","mjolnir_04.gat",369,174
505,1,"黄金蟲","prt_sewb4.gat",102,90
506,1,"オークヒーロー","gef_fild02.gat",375,291
507,1,"ドレイク","treasure02.gat",102,31
508,1,"エドガ","pay_fild09.gat",112,19
509,1,"マヤー","anthell02.gat",41,259
510,1,"月夜花","pay_dun04.gat",39,204
511,1,"ファラオ","in_sphinx5.gat",100,103
512,1,"フリオニ","moc_fild17.gat",50,106
513,1,"オークロード","gef_fild03.gat",379,277
514,1,"ストームナイト","xmas_dun02.gat",129,136
515,1,"ハティー","xmas_fild01.gat",83,65
516,1,"ダークロード","gl_chyard.gat",147,280
517,1,"タートルジェネラル","tur_dun04.gat",100,190
518,1,"ロードオブデス","niflheim.gat",202,172
519,1,"ドラキュラ","gef_dun01.gat",115,234
520,1,"黒蛇王","gon_dun03.gat",68,11
521,1,"怨霊武士","ama_dun03.gat",120,117
522,1,"ペクソジン","lou_dun03.gat",165,42
523,1,"タオグンカ","ayo_dun02.gat",23,31
524,1,"RSX-0806","ein_dun02.gat",291,290
525,1,"イグニゼム=セニア(MVP)","lhz_dun02.gat",153,19
526,1,"生体DOPシリーズ(MVP)","lhz_dun03.gat",140,133
527,1,"ヴェスパー","jupe_core.gat",149,284
528,1,"レディータニー","cmd_fild03.gat",183,23
529,1,"魔剣士タナトスの思念体","thana_boss.gat",216,168
530,1,"データルザウルス","abyss_03.gat",115,38
531,1,"キエル-D-01","kh_dun02.gat",41,198
532,1,"ランドグリス","odin_tem03.gat",247,40
533,1,"アトロス（ラヘル方面）","ra_fild03.gat",28,294
534,1,"アトロス（ベインス方面）","ve_fild01.gat",243,363
535,1,"グルームアンダーナイト","ra_san05.gat",150,282
536,1,"クトルラナックス","ice_dun03.gat",149,24
537,1,"イフリート","thor_v03.gat",35,262
538,1,"ヴェルゼブブ","abbey03.gat",120,9
539,1,"ゴピニク","mosk_dun03.gat",117,36
540,1,"魔王モロク","moc_fild21.gat",38,193
541,1,"傷ついた魔王モロク","moc_fild22.gat",38,193
542,1,"クラーケン","iz_dun05.gat",141,184
543,1,"堕ちた大神官ヒバム","abbey02.gat",149,12
544,1,"女王スカラバ","dic_dun02.gat",102,142
545,1,"女帝スカラバ","dic_dun03.gat",102,142
546,1,"ボイタタ","bra_dun02.gat",261,261
547,1,"レヤック","dew_dun02.gat",50,65

1,2,"ポリン島","pay_fild04.gat",248,191
100,2,"プロンテラ","prontera.gat",156,191
101,2,"地下水路B1","prt_sewb1.gat",131,247
102,2,"地下水路B2","prt_sewb2.gat",19,19
103,2,"地下水路B3","prt_sewb3.gat",180,169
104,2,"地下水路B4","prt_sewb4.gat",102,192
105,2,"迷宮の森1","prt_maze01.gat",176,7
106,2,"迷宮の森2","prt_maze02.gat",94,19
107,2,"迷宮の森3","prt_maze03.gat",23,8

108,3,"モロク","morocc.gat",156,93
109,3,"スフィンクスD1F","in_sphinx1.gat",289,9
110,3,"スフィンクスD2F","in_sphinx2.gat",149,81
111,3,"スフィンクスD3F","in_sphinx3.gat",210,54
112,3,"スフィンクスD4F","in_sphinx4.gat",10,222
113,3,"スフィンクスD5F","in_sphinx5.gat",100,99
114,3,"ピラミッドD1F","moc_pryd01.gat",192,9
115,3,"ピラミッドD2F","moc_pryd02.gat",10,192
116,3,"ピラミッドD3F","moc_pryd03.gat",100,92
117,3,"ピラミッドD4F","moc_pryd04.gat",18,187
245,3,"ピラミッドD B2F","moc_pryd05.gat",94,95
246,3,"ピラミッドD B3F","moc_pryd06.gat",188,11
